Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Ethiopia	39.2	37.38	35.56	33.74	31.92	30.1	33.800000000000004	37.5	41.2	44.900000000000006	48.6	48.78	48.96	49.14	49.32	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5
Fiji	38.5	39.96	41.42	42.879999999999995	44.339999999999996	45.8	44.22	42.64	41.06	39.48	37.9	52.64	67.38	82.12	96.85999999999999	111.6	115.74	119.88	124.02000000000001	128.16	132.3	115.6	114.6	112.0	105.5	111.4	114.8	116.2	116.2
Finland	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	91.3	103.47999999999999	115.66	127.83999999999999	140.01999999999998	152.2	189.4	165.4	142.1	164.4	156.7	154.4	120.6	137.7
France	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	106.1	113.64	121.18	128.72	136.26000000000002	143.8	145.9	147.7	143.8	146.8	147.4	154.8	157.4	160.0
Gabon	20.0	19.66	19.32	18.98	18.64	18.3	17.14	15.98	14.82	13.66	12.5	11.94	11.379999999999999	10.82	10.26	9.7	9.86	10.02	10.18	10.34	10.5	11.5	14.1	12.9	13.8	16.9	23.2	18.4	23.1
Gambia	3.4	3.46	3.52	3.58	3.64	3.7	4.44	5.18	5.92	6.66	7.4	9.84	12.280000000000001	14.720000000000002	17.160000000000004	19.6	23.48	27.36	31.240000000000002	35.120000000000005	39.0	43.8	44.2	32.7	36.3	36.9	37.5	38.1	37.6
Georgia	8.1	8.1	8.1	8.1	8.1	8.1	10.78	13.46	16.14	18.82	21.5	21.52	21.54	21.560000000000002	21.580000000000002	21.6	24.380000000000003	27.16	29.94	32.72	35.5	36.7	38.4	46.4	52.5	57.5	65.4	65.6	71.9
Germany	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	132.6	139.04	145.48	151.92000000000002	158.36	164.8	162.0	156.9	136.9	139.5	134.1	133.1	128.0	125.9
Ghana	17.5	17.78	18.06	18.34	18.619999999999997	18.9	22.979999999999997	27.06	31.14	35.22	39.3	37.599999999999994	35.9	34.2	32.5	30.8	30.32	29.84	29.36	28.88	28.4	27.5	31.3	26.4	27.9	27.2	26.7	24.5	24.5
Greece	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	106.7	114.88	123.06	131.24	139.42	147.6	156.0	139.1	137.1	137.8	134.5	124.4	115.1	91.9
Grenada	46.7	48.14	49.58	51.019999999999996	52.46	53.9	57.6	61.300000000000004	65.0	68.7	72.4	70.2	68.0	65.8	63.6	61.4	67.67999999999999	73.96	80.24	86.52	92.8	95.7	91.2	79.4	68.4	56.9	53.3	48.8	45.4
Guatemala	25.9	26.72	27.54	28.36	29.18	30.0	29.18	28.36	27.54	26.72	25.9	27.599999999999998	29.299999999999997	31.0	32.699999999999996	34.4	34.82	35.24	35.66	36.08	36.5	36.8	39.1	40.6	41.8	42.8	41.9	40.5	41.1
Guinea	7.7	7.7	7.7	7.7	7.7	7.7	7.94	8.18	8.42	8.66	8.9	10.66	12.42	14.18	15.94	17.7	19.32	20.94	22.560000000000002	24.18	25.8	24.1	16.0	18.1	21.5	26.1	23.1	23.1	23.1
Guinea-Bissau	77.5	62.62	47.739999999999995	32.86	17.979999999999997	3.1	4.6	6.1	7.6	9.1	10.6	9.92	9.24	8.559999999999999	7.88	7.2	7.8	8.4	9.0	9.6	10.2	12.0	21.2	18.3	22.7	24.4	24.0	20.9	21.4
Guyana	265.9	245.98	226.06	206.14	186.22	166.3	153.14000000000001	139.98000000000002	126.82000000000001	113.66	100.5	100.18	99.86	99.54	99.22	98.9	88.86	78.82000000000001	68.78	58.74	48.7	51.0	50.4	55.3	60.8	63.9	61.6	62.2	68.9
Haiti	31.6	30.34	29.080000000000002	27.82	26.560000000000002	25.3	27.1	28.9	30.7	32.5	34.3	34.3	34.3	34.3	34.3	34.3	31.7	29.099999999999998	26.5	23.9	21.3	18.1	21.0	26.2	28.9	32.2	31.6	32.9	34.0
Honduras	25.3	24.080000000000002	22.86	21.64	20.42	19.2	20.06	20.919999999999998	21.78	22.64	23.5	26.48	29.46	32.44	35.42	38.4	40.64	42.88	45.120000000000005	47.36	49.6	51.4	55.3	56.8	57.5	55.8	60.5	59.9	64.1
Hong Kong	151.9	149.92000000000002	147.94	145.96	143.98	142.0	140.4	138.8	137.2	135.6	134.0	135.16	136.32	137.48000000000002	138.64000000000001	139.8	150.92000000000002	162.04000000000002	173.16000000000003	184.28	195.4	207.1	201.1	222.6	236.0	211.9	238.0	249.1	252.0
Hungary	79.3	79.3	79.3	79.3	79.3	79.3	74.28	69.26	64.24000000000001	59.22	54.2	55.64	57.08	58.519999999999996	59.96	61.4	65.17999999999999	68.96	72.74	76.52	80.3	76.8	68.2	65.1	60.5	58.2	57.8	58.2	55.4
