Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Denmark	173.7	177.94	182.18	186.42	190.66	194.9	201.14000000000001	207.38	213.62	219.85999999999999	226.1	229.18	232.26	235.34	238.42	241.5	242.02	242.54	243.06	243.57999999999998	244.1	247.4	247.9	250.2	254.3	260.2	266.5	272.5	276.4
Djibouti	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3
Dominica	0.5	0.5	0.5	0.5	0.5	0.5	0.52	0.54	0.5599999999999999	0.58	0.6	0.6	0.6	0.6	0.6	0.6	0.62	0.64	0.6599999999999999	0.6799999999999999	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
Dominican Republic	39.3	41.72	44.14	46.56	48.98	51.4	55.16	58.92	62.68	66.44	70.2	72.8	75.4	78.0	80.60000000000001	83.2	88.60000000000001	94.0	99.4	104.80000000000001	110.2	113.6	116.7	122.4	131.8	141.0	150.4	157.2	168.1
Ecuador	76.3	78.72	81.14	83.56	85.98	88.4	89.38000000000001	90.36	91.34	92.32	93.3	98.28	103.26	108.24000000000001	113.22	118.2	122.5	126.8	131.1	135.39999999999998	139.7	150.7	159.2	167.0	173.4	173.5	171.4	175.5	177.9
Egypt	331.1	343.20000000000005	355.3	367.40000000000003	379.5	391.6	416.58000000000004	441.56	466.54	491.52	516.5	536.1	555.7	575.3	594.9	614.5	657.44	700.38	743.32	786.26	829.2	843.8	862.6	881.5	907.2	946.8	988.0	1029.3	1084.0
El Salvador	23.8	25.04	26.28	27.52	28.759999999999998	30.0	30.6	31.2	31.8	32.4	33.0	33.52	34.04	34.56	35.08	35.6	36.24	36.88	37.519999999999996	38.16	38.8	40.3	41.5	42.4	43.1	44.1	45.2	46.3	47.5
Equatorial Guinea	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9	2.04	3.1799999999999997	4.32	5.46	6.6	10.04	13.48	16.92	20.36	23.8	25.46	27.12	28.78	30.44	32.1	34.2	37.0	35.5	35.6	32.4	29.5	28.1	27.3
Eritrea	4.9	4.9	4.9	4.9	4.9	4.9	5.0600000000000005	5.220000000000001	5.38	5.54	5.7	5.86	6.0200000000000005	6.18	6.34	6.5	6.44	6.38	6.32	6.26	6.2	6.8	6.8	6.8	6.8	6.8	6.8	6.8	6.8
Estonia	16.3	16.3	16.3	16.3	16.3	16.3	17.42	18.54	19.66	20.78	21.9	23.7	25.5	27.299999999999997	29.099999999999998	30.9	30.779999999999998	30.66	30.54	30.42	30.3	32.6	34.0	34.6	35.6	36.3	37.6	39.4	40.9
Swaziland	4.6	4.76	4.92	5.08	5.24	5.4	5.5600000000000005	5.720000000000001	5.88	6.04	6.2	6.46	6.72	6.98	7.24	7.5	7.76	8.02	8.280000000000001	8.540000000000001	8.8	9.0	9.4	10.0	10.2	10.2	10.6	10.8	10.8
