Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Swaziland	5633.0	5668.6	5704.2	5739.8	5775.4	5811.0	5881.8	5952.6	6023.4	6094.2	6165.0	6379.8	6594.6	6809.4	7024.2	7239.0	7439.6	7640.2	7840.8	8041.4	8242.0	8371.0	8707.0	9202.0	9309.0	9269.0	9482.0	9568.0	9530.0
Ethiopia	655.0	639.4	623.8	608.2	592.6	577.0	585.8	594.6	603.4	612.2	621.0	644.0	667.0	690.0	713.0	736.0	803.8	871.6	939.4	1007.2	1075.0	1162.0	1227.0	1319.0	1414.0	1518.0	1617.0	1724.0	1794.0
Fiji	5892.0	5971.2	6050.4	6129.6	6208.8	6288.0	6365.6	6443.2	6520.8	6598.4	6676.0	6826.6	6977.2	7127.8	7278.4	7429.0	7413.8	7398.6	7383.4	7368.2	7353.0	7520.0	7612.0	7968.0	8406.0	8776.0	8969.0	9379.0	9781.0
Finland	28906.0	28644.0	28382.0	28120.0	27858.0	27596.0	29054.2	30512.4	31970.6	33428.8	34887.0	35732.8	36578.6	37424.4	38270.2	39116.0	39262.4	39408.8	39555.2	39701.6	39848.0	40684.0	39913.0	39428.0	39018.0	39084.0	40052.0	41018.0	41899.0
France	29464.0	29716.6	29969.2	30221.8	30474.4	30727.0	31522.6	32318.2	33113.8	33909.4	34705.0	35039.0	35373.0	35707.0	36041.0	36375.0	36463.0	36551.0	36639.0	36727.0	36815.0	37441.0	37377.0	37399.0	37576.0	37836.0	38098.0	38956.0	39556.0
Gabon	19557.0	19629.0	19701.0	19773.0	19845.0	19917.0	19498.0	19079.0	18660.0	18241.0	17822.0	17648.6	17475.2	17301.8	17128.4	16955.0	16665.6	16376.2	16086.8	15797.4	15508.0	16011.0	16225.0	16505.0	16607.0	16685.0	16524.0	16145.0	15922.0
Gambia	1445.0	1427.6	1410.2	1392.8	1375.4	1358.0	1376.2	1394.4	1412.6	1430.8	1449.0	1446.0	1443.0	1440.0	1437.0	1434.0	1457.6	1481.2	1504.8	1528.4	1552.0	1441.0	1476.0	1501.0	1442.0	1481.0	1444.0	1465.0	1517.0
Georgia	7984.0	6852.4	5720.8	4589.200000000001	3457.6000000000004	2326.0	2566.2	2806.4	3046.6	3286.8	3527.0	3870.6	4214.2	4557.8	4901.4	5245.0	5592.2	5939.4	6286.6	6633.8	6981.0	7546.0	8084.0	8383.0	8767.0	9005.0	9256.0	9702.0	10152.0
Germany	31287.0	31760.2	32233.4	32706.6	33179.8	33653.0	34275.4	34897.8	35520.2	36142.6	36765.0	36952.8	37140.6	37328.4	37516.2	37704.0	38249.0	38794.0	39339.0	39884.0	40429.0	42693.0	42822.0	42914.0	43667.0	44043.0	44669.0	45462.0	45959.0
Ghana	1901.0	1927.8	1954.6	1981.4	2008.2	2035.0	2071.8	2108.6	2145.4	2182.2	2219.0	2276.8	2334.6	2392.4	2450.2	2508.0	2611.6	2715.2	2818.8	2922.4	3026.0	3369.0	3596.0	3770.0	3791.0	3787.0	3830.0	4051.0	4212.0
